price,area,bedrooms,bathrooms,stories,parking,mainroad_yes,guestroom_yes,basement_yes,hotwaterheating_yes,airconditioning_yes,prefarea_yes,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,area_bedrooms
4.566365125868969,1.0467262882352133,1.4034193573588298,1.4218117367065486,1.3782169202337835,1.5176924895404067,True,False,False,False,True,True,False,False,1.4689959347656563
4.004484046345774,1.7570095257333957,1.4034193573588298,5.405808633904846,2.53202371213457,2.679409353022881,True,False,False,False,True,False,False,False,2.465821179478105
4.004484046345774,2.218232407225722,0.047278311684073836,1.4218117367065486,0.22441012833299692,1.5176924895404067,True,False,True,False,False,True,True,False,0.10487428313653109
3.985754677028334,1.0836241187545992,1.4034193573588298,1.4218117367065486,0.22441012833299692,2.679409353022881,True,False,True,False,True,True,False,False,1.5207790643611079
3.554979182727218,1.0467262882352133,1.4034193573588298,-0.5701867118926005,0.22441012833299692,1.5176924895404067,True,True,True,False,True,False,False,False,1.4689959347656563
3.255309273648181,1.0836241187545992,0.047278311684073836,3.4138101853056977,-0.9293966635677897,1.5176924895404067,True,False,True,False,True,True,True,False,0.05123191883485978
2.880721887299385,1.5817448307663118,1.4034193573588298,3.4138101853056977,2.53202371213457,1.5176924895404067,True,False,False,False,True,True,True,False,2.2198513138997082
2.880721887299385,5.096263187737839,2.7595604030335856,3.4138101853056977,0.22441012833299692,-0.8057412374245417,True,False,False,False,False,False,False,True,14.063446096319057
2.7308869327598666,1.3603578476499951,1.4034193573588298,-0.5701867118926005,0.22441012833299692,1.5176924895404067,True,True,True,False,True,True,False,False,1.909152536326997
2.6934281941249867,0.2764840761430282,0.047278311684073836,1.4218117367065486,2.53202371213457,0.35597562605793237,True,True,False,False,True,True,False,True,0.013071700327573292
2.6934281941249867,3.712594543260859,0.047278311684073836,-0.5701867118926005,0.22441012833299692,1.5176924895404067,True,False,True,False,True,True,False,False,0.17552520197287863
2.6297483384456917,0.39178979651610985,1.4034193573588298,3.4138101853056977,0.22441012833299692,1.5176924895404067,True,True,True,True,False,False,True,False,0.5498453844463855
2.4312170236808295,0.6454623813368893,1.4034193573588298,1.4218117367065486,0.22441012833299692,0.35597562605793237,True,False,False,False,True,True,True,False,0.9058544004151171
2.39375828504595,-0.761267407214706,1.4034193573588298,1.4218117367065486,0.22441012833299692,1.5176924895404067,True,False,False,True,False,False,False,False,-1.0683774154114853
2.39375828504595,1.2219909832022973,0.047278311684073836,1.4218117367065486,0.22441012833299692,-0.8057412374245417,True,False,False,False,False,True,True,False,0.05777367057896605
2.3188408077761906,0.39178979651610985,1.4034193573588298,-0.5701867118926005,0.22441012833299692,1.5176924895404067,True,False,True,False,False,False,True,False,0.5498453844463855
2.3188408077761906,0.6685235254115056,1.4034193573588298,1.4218117367065486,0.22441012833299692,0.35597562605793237,True,True,True,False,True,True,False,True,0.9382188564122745
2.2439233305064312,1.5448470002469257,0.047278311684073836,1.4218117367065486,2.53202371213457,1.5176924895404067,True,False,False,False,True,False,False,False,0.07303775798188064
2.2064645918715518,-0.253922237573147,0.047278311684073836,1.4218117367065486,0.22441012833299692,1.5176924895404067,True,True,False,False,True,False,False,False,-0.01200501469150069
2.187735222554112,0.5855034067428869,0.047278311684073836,1.4218117367065486,0.22441012833299692,0.35597562605793237,True,False,False,False,True,True,True,False,0.027681612556077265
2.1315471146017924,-0.3830646443909984,0.047278311684073836,-0.5701867118926005,0.22441012833299692,1.5176924895404067,True,False,True,True,False,False,True,False,-0.018110649652666528
2.094088375966913,0.9245022246397467,0.047278311684073836,1.4218117367065486,-0.9293966635677897,1.5176924895404067,True,True,True,False,True,False,False,True,0.04370890432913759
2.075359006649473,1.3372967035753787,0.047278311684073836,-0.5701867118926005,-0.9293966635677897,0.35597562605793237,True,True,True,False,True,False,False,False,0.06322513036572125
2.075359006649473,-0.2723711528328401,0.047278311684073836,1.4218117367065486,0.22441012833299692,0.35597562605793237,True,True,True,False,True,False,False,False,-0.012877248257381523
2.0379002680145937,1.6832138646946235,0.047278311684073836,1.4218117367065486,0.22441012833299692,1.5176924895404067,True,False,False,False,True,False,False,False,0.0795795097259869
2.0191708986971535,0.6408501525219661,1.4034193573588298,1.4218117367065486,0.22441012833299692,1.5176924895404067,True,True,True,False,True,True,False,False,0.8993815092156857
1.9779662861987861,0.39178979651610985,0.047278311684073836,1.4218117367065486,2.53202371213457,-0.8057412374245417,True,True,True,False,True,True,True,False,0.018523160114328505
1.9442534214273945,1.717805580806548,0.047278311684073836,-0.5701867118926005,-0.9293966635677897,0.35597562605793237,True,False,False,False,False,False,True,False,0.08121494766201345
1.9442534214273945,1.2911744154261462,2.7595604030335856,1.4218117367065486,0.22441012833299692,1.5176924895404067,True,False,True,True,False,False,False,True,3.5630737902200305
1.9442534214273945,0.16117835576994666,1.4034193573588298,1.4218117367065486,0.22441012833299692,0.35597562605793237,True,False,True,False,True,True,True,False,0.22620082447481138
1.9442534214273945,1.0720935467172912,0.047278311684073836,1.4218117367065486,2.53202371213457,1.5176924895404067,True,False,False,False,True,False,False,True,0.05068677285618427
1.9442534214273945,0.8530126780084362,0.047278311684073836,-0.5701867118926005,2.53202371213457,1.5176924895404067,True,False,False,False,True,False,True,False,0.04032899926134936
1.8880653134750751,-0.12477983075529565,1.4034193573588298,1.4218117367065486,0.22441012833299692,0.35597562605793237,True,False,False,False,True,True,False,False,-0.17511842988994059
1.8318772055227557,0.3733408812564168,0.047278311684073836,3.4138101853056977,0.22441012833299692,0.35597562605793237,True,True,True,False,False,False,False,True,0.017650926548447674
1.794418466887876,0.779217016969664,2.7595604030335856,-0.5701867118926005,0.22441012833299692,0.35597562605793237,True,True,True,False,True,False,False,False,2.1502964253994343
1.773516490729613,0.8530126780084362,0.047278311684073836,1.4218117367065486,2.53202371213457,1.5176924895404067,True,False,False,False,True,False,False,False,0.04032899926134936
